"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.490338417E0,1.214044571E1,-3.827874374E1,-2.953936768E1,4.985204998E1
2.500381417E0,1.233654785E1,-3.834156799E1,-2.946807861E1,4.990625117E1
2.510424417E0,1.256854630E1,-3.829888535E1,-2.978283691E1,5.011776481E1
2.520467417E0,1.267469025E1,-3.839374924E1,-2.969610596E1,5.016559042E1
2.530510417E0,1.273981094E1,-3.836690903E1,-2.937335205E1,4.997115470E1
2.540553417E0,1.110373497E1,-3.830637741E1,-3.003955078E1,4.993041249E1
2.550596416E0,1.110373497E1,-3.830637741E1,-3.003955078E1,4.993041249E1
2.560639417E0,1.111988640E1,-3.847765732E1,-3.003289795E1,5.006153159E1
2.570683416E0,1.116534233E1,-3.840682983E1,-3.010290527E1,5.005930836E1
2.580726417E0,1.123424721E1,-3.838064957E1,-3.001470947E1,5.000165353E1
2.590769417E0,1.130448723E1,-3.848439789E1,-2.946191406E1,4.976790826E1
2.600812417E0,1.153022194E1,-3.848940659E1,-2.979693604E1,5.002237334E1
2.610855417E0,1.189145851E1,-3.849592209E1,-2.942956543E1,4.989430954E1
2.620898417E0,1.210899925E1,-3.844907761E1,-2.913903809E1,4.973975243E1
2.630941417E0,1.204639244E1,-3.839875031E1,-2.951007080E1,4.990414687E1
2.640984416E0,1.236737633E1,-3.846715927E1,-2.937719727E1,4.995692203E1
2.651027417E0,1.244849205E1,-3.834793091E1,-2.968078613E1,5.006473634E1
2.661070417E0,1.270833397E1,-3.831692505E1,-2.957025146E1,5.004086599E1
2.671113417E0,1.299501610E1,-3.835951233E1,-2.925994873E1,4.996465980E1
2.681157417E0,1.325887489E1,-3.827782440E1,-2.974359131E1,5.025605265E1
2.691200417E0,1.336272240E1,-3.835508728E1,-2.935797119E1,5.011552197E1
2.701243416E0,1.342782402E1,-3.825814819E1,-2.965979004E1,5.023639623E1
2.711286417E0,1.389715004E1,-3.826647186E1,-2.999566650E1,5.056870235E1
2.721329417E0,1.416383171E1,-3.840367508E1,-2.954809570E1,5.048312934E1
2.731372416E0,1.441366768E1,-3.848335266E1,-3.004144287E1,5.090393440E1
2.741415417E0,1.459601021E1,-3.857480240E1,-2.931353760E1,5.059982589E1
2.751458417E0,1.487445641E1,-3.866991806E1,-2.895050049E1,5.054447047E1
2.761501417E0,1.515858650E1,-3.886294174E1,-2.938476562E1,5.102524313E1
2.771544416E0,1.557357979E1,-3.897755814E1,-2.867620850E1,5.083415544E1
2.781587417E0,1.605131721E1,-3.906321716E1,-2.866674805E1,5.104274839E1
2.791630417E0,1.630394936E1,-3.932530212E1,-2.814752197E1,5.103509719E1
2.801674417E0,1.691916466E1,-3.946156693E1,-2.744067383E1,5.095550978E1
2.811717417E0,1.745190239E1,-3.956093216E1,-2.765783691E1,5.132827869E1
2.821760416E0,1.822546196E1,-3.961870956E1,-2.742395020E1,5.151584859E1
2.831803417E0,1.878307915E1,-3.967364120E1,-2.749798584E1,5.179711473E1
2.841846417E0,1.942301369E1,-3.969041061E1,-2.712493896E1,5.184924753E1
2.851889417E0,2.005542755E1,-3.997946167E1,-2.700726318E1,5.224911286E1
2.861932416E0,2.068145370E1,-3.993860245E1,-2.695550537E1,5.243485256E1
2.871975417E0,2.130460739E1,-3.993333817E1,-2.622070312E1,5.230758134E1
2.882018417E0,2.197351074E1,-3.998267746E1,-2.592407227E1,5.247387154E1
2.892061417E0,2.260823059E1,-3.990312195E1,-2.607672119E1,5.275781098E1
2.902104416E0,2.324230576E1,-3.973576355E1,-2.548999023E1,5.262010342E1
2.912148417E0,2.411358643E1,-3.969440842E1,-2.561553955E1,5.304023922E1
2.922191417E0,2.475762558E1,-3.953147507E1,-2.500677490E1,5.292462883E1
2.932234417E0,2.528647232E1,-3.928076553E1,-2.475219727E1,5.286828438E1
2.942277417E0,2.578353882E1,-3.929036331E1,-2.514947510E1,5.330121594E1
2.952320416E0,2.660544777E1,-3.935029602E1,-2.474951172E1,5.356149716E1
2.962363417E0,2.691321373E1,-3.914748383E1,-2.490826416E1,5.364017325E1
2.972406417E0,2.724640465E1,-3.901136017E1,-2.478131104E1,5.365040694E1
2.982449417E0,2.769991112E1,-3.883678055E1,-2.432397461E1,5.354658103E1
2.992492416E0,2.820462608E1,-3.859943771E1,-2.465710449E1,5.379024378E1
3.002535417E0,2.862650871E1,-3.855093384E1,-2.416363525E1,5.375437442E1
3.012578417E0,2.980289841E1,-3.846191025E1,-2.394824219E1,5.423144473E1
3.022622417E0,3.023827362E1,-3.810725784E1,-2.416094971E1,5.431636754E1
3.032665417E0,3.023827362E1,-3.810725784E1,-2.416094971E1,5.431636754E1
3.042708416E0,3.076831436E1,-3.785367203E1,-2.346185303E1,5.412991966E1
3.052751417E0,3.119571304E1,-3.753784180E1,-2.355212402E1,5.419376925E1
3.062794417E0,3.156391525E1,-3.723950195E1,-2.344604492E1,5.415513156E1
3.072837417E0,3.262984467E1,-3.729119110E1,-2.337628174E1,5.478859594E1
3.082880416E0,3.277813721E1,-3.700283051E1,-2.375634766E1,5.484505263E1
3.092923417E0,3.274629974E1,-3.692453384E1,-2.353637695E1,5.467817102E1
3.102966417E0,3.279505920E1,-3.667012405E1,-2.373034668E1,5.461998956E1
3.113009416E0,3.271552277E1,-3.655870056E1,-2.383410645E1,5.454272313E1
3.123052417E0,3.284252930E1,-3.649739456E1,-2.365209961E1,5.449874637E1
3.133095417E0,3.293123627E1,-3.642134094E1,-2.407318115E1,5.468545007E1
3.143139417E0,3.287876129E1,-3.631390762E1,-2.379663086E1,5.446092610E1
3.153182417E0,3.318317413E1,-3.629082870E1,-2.373425293E1,5.460276601E1
3.163225417E0,3.314067841E1,-3.617611694E1,-2.397601318E1,5.460645759E1
3.173268416E0,3.338128662E1,-3.602906799E1,-2.365155029E1,5.451421712E1
3.183311417E0,3.346398926E1,-3.597619247E1,-2.442858887E1,5.487149493E1
3.193354417E0,3.318505859E1,-3.586213303E1,-2.431420898E1,5.457583217E1
3.203397417E0,3.297747040E1,-3.602062607E1,-2.430169678E1,5.454879946E1
