"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.234580583E0,7.982624054E0,-1.236210632E1,-4.231286621E1,4.479868979E1
2.244624583E0,7.993869781E0,-1.231361389E1,-4.294378662E1,4.538387214E1
2.254668583E0,7.743284225E0,-1.216254425E1,-4.253625488E1,4.491346026E1
2.264712583E0,7.732254028E0,-1.199447632E1,-4.265460205E1,4.497855367E1
2.274757583E0,7.862989426E0,-1.197139740E1,-4.274365234E1,4.507949394E1
2.284801583E0,7.915470123E0,-1.198430634E1,-4.239947510E1,4.476598881E1
2.294845583E0,7.804107666E0,-1.187277222E1,-4.281201172E1,4.510803880E1
2.304889583E0,7.770862579E0,-1.187774658E1,-4.277136230E1,4.506502638E1
2.314933583E0,7.973707199E0,-1.185974884E1,-4.285595703E1,4.517595270E1
2.324977583E0,8.011941910E0,-1.183576965E1,-4.316070557E1,4.546562615E1
2.335022583E0,7.985830307E0,-1.172133636E1,-4.270880127E1,4.500227681E1
2.345066583E0,8.007707596E0,-1.158339691E1,-4.325494385E1,4.548943429E1
2.355110583E0,7.919204712E0,-1.144841766E1,-4.278845215E1,4.499590768E1
2.365154583E0,8.055376053E0,-1.132373047E1,-4.290423584E1,4.509866304E1
2.375198583E0,8.136638641E0,-1.134825897E1,-4.339501953E1,4.558635311E1
2.385243583E0,8.038351059E0,-1.131444550E1,-4.300781250E1,4.519185436E1
2.395287583E0,8.101646423E0,-1.102576447E1,-4.341302490E1,4.551807210E1
2.405331583E0,8.050464630E0,-1.079871368E1,-4.346923828E1,4.550820667E1
2.415375583E0,8.069234848E0,-1.063095856E1,-4.295605469E1,4.498169033E1
2.425419583E0,8.098123550E0,-1.042642212E1,-4.332324219E1,4.529010043E1
2.435464583E0,8.066686630E0,-1.032427979E1,-4.311083984E1,4.505781506E1
2.445508583E0,8.034729004E0,-1.003505707E1,-4.321575928E1,4.508726084E1
2.455552583E0,8.048830032E0,-9.833183289E0,-4.347216797E1,4.529132970E1
2.465596583E0,8.187786102E0,-9.595878601E0,-4.286474609E1,4.468229163E1
2.475640583E0,8.187786102E0,-9.595878601E0,-4.286474609E1,4.468229163E1
2.485685583E0,8.377592087E0,-9.140197754E0,-4.324334717E1,4.498571260E1
2.495729583E0,8.374961853E0,-8.855697632E0,-4.267614746E1,4.438261967E1
2.505773583E0,8.386789322E0,-8.485458374E0,-4.291448975E1,4.454205506E1
2.515817583E0,8.411233902E0,-7.873970032E0,-4.331408691E1,4.482028988E1
2.525861583E0,8.436862946E0,-7.233642578E0,-4.329840088E1,4.470187647E1
2.535905583E0,8.374410629E0,-6.649536133E0,-4.345404053E1,4.475042706E1
2.545950583E0,8.277332306E0,-6.092491150E0,-4.342907715E1,4.462866142E1
2.555994583E0,8.385683060E0,-5.730606079E0,-4.331030273E1,4.448529925E1
2.566038583E0,8.356372833E0,-5.346366882E0,-4.362951660E1,4.474312600E1
2.576082583E0,8.347139359E0,-5.050811768E0,-4.343884277E1,4.452098939E1
2.586126583E0,8.364986420E0,-4.631416321E0,-4.348327637E1,4.452211067E1
2.596171583E0,8.436641693E0,-4.183158875E0,-4.394836426E1,4.494590596E1
2.606215583E0,8.595657349E0,-3.867721558E0,-4.349725342E1,4.450680454E1
2.616259583E0,8.675951004E0,-3.217369080E0,-4.365899658E1,4.462881997E1
2.626303583E0,8.776798248E0,-2.950134277E0,-4.357202148E1,4.454499451E1
2.636347583E0,8.796146393E0,-2.580085754E0,-4.351806641E1,4.447303832E1
2.646391583E0,8.687503815E0,-2.237030029E0,-4.397900391E1,4.488462777E1
2.656436583E0,8.737546921E0,-2.073287964E0,-4.359197998E1,4.450734735E1
2.666480583E0,8.851867676E0,-1.767982483E0,-4.399505615E1,4.491153849E1
2.676524583E0,8.546890259E0,-1.932662964E0,-4.376013184E1,4.462884334E1
2.686568583E0,8.654438019E0,-1.908050537E0,-4.346032715E1,4.435470652E1
2.696612583E0,8.652976990E0,-1.893623352E0,-4.372290039E1,4.461111788E1
2.706657583E0,8.835350037E0,-1.907440186E0,-4.347241211E1,4.440216608E1
2.716701583E0,8.711997986E0,-1.835510254E0,-4.375494385E1,4.465157464E1
2.726745583E0,8.718055725E0,-1.789451599E0,-4.374920654E1,4.464526521E1
2.736789583E0,8.577423096E0,-1.792846680E0,-4.332019043E1,4.419757216E1
2.746833583E0,8.501234055E0,-1.759262085E0,-4.368859863E1,4.454278431E1
2.756878583E0,8.454399109E0,-1.721488953E0,-4.357696533E1,4.442288032E1
2.766922583E0,8.724449158E0,-1.835487366E0,-4.343634033E1,4.434186158E1
2.776966583E0,8.658067703E0,-1.805740356E0,-4.354754639E1,4.443660238E1
2.787010583E0,8.690435410E0,-1.975280762E0,-4.314843750E1,4.405919950E1
2.797054583E0,8.812072754E0,-1.947021484E0,-4.348144531E1,4.440810292E1
2.807099583E0,8.861297607E0,-1.975975037E0,-4.371948242E1,4.465221401E1
2.817143583E0,8.667291641E0,-2.048744202E0,-4.346997070E1,4.437293826E1
2.827187583E0,8.496639252E0,-1.878021240E0,-4.366674805E1,4.452532681E1
2.837231583E0,8.663627625E0,-1.875198364E0,-4.351196289E1,4.440569476E1
2.847275583E0,8.494493484E0,-1.857017517E0,-4.355383301E1,4.441330097E1
2.857319583E0,8.656435013E0,-1.864875793E0,-4.388269043E1,4.476719947E1
2.867364583E0,8.668085098E0,-1.869621277E0,-4.336840820E1,4.426567534E1
2.877408583E0,8.696966171E0,-1.825599670E0,-4.379315186E1,4.468568209E1
2.887452583E0,8.658082962E0,-1.877601624E0,-4.339324951E1,4.428839455E1
2.897496583E0,8.857172012E0,-2.022720337E0,-4.326123047E1,4.420492003E1
2.907540583E0,8.652570724E0,-1.917190552E0,-4.361816406E1,4.450940166E1
2.917585583E0,8.617874146E0,-1.853729248E0,-4.330450439E1,4.419258046E1
2.927629583E0,8.628215790E0,-1.729988098E0,-4.371289062E1,4.458986178E1
2.937673583E0,8.618824005E0,-1.772987366E0,-4.383636475E1,4.471078713E1
2.947717583E0,8.807956696E0,-1.812774658E0,-4.328906250E1,4.421322410E1
2.957761583E0,8.723926544E0,-1.762268066E0,-4.360345459E1,4.450251381E1
2.967805583E0,8.723926544E0,-1.762268066E0,-4.360345459E1,4.450251381E1
2.977850583E0,8.654939651E0,-1.772171021E0,-4.342529297E1,4.431483544E1
2.987894583E0,8.723997116E0,-1.747322083E0,-4.373712158E1,4.463291459E1
2.997938583E0,8.688526154E0,-1.670066833E0,-4.378790283E1,4.467281102E1
3.007982583E0,8.376123428E0,-1.708946228E0,-4.331774902E1,4.415322549E1
3.018026583E0,8.437522888E0,-1.789047241E0,-4.375799561E1,4.459994016E1
3.028071583E0,8.404468536E0,-1.746505737E0,-4.351818848E1,4.435671428E1
3.038115583E0,8.261034012E0,-1.825241089E0,-4.344158936E1,4.425774366E1
3.048159583E0,8.269660950E0,-1.856567383E0,-4.378594971E1,4.459869422E1
3.058203583E0,8.222208023E0,-1.882621765E0,-4.326733398E1,4.408186883E1
3.068247583E0,8.349048615E0,-1.923843384E0,-4.349462891E1,4.433046954E1
3.078292583E0,8.294885635E0,-2.008979797E0,-4.362103271E1,4.444812282E1
3.088336583E0,8.313423157E0,-2.201560974E0,-4.329608154E1,4.414193644E1
3.098380583E0,8.274047852E0,-2.120376587E0,-4.368737793E1,4.451452409E1
3.108424583E0,8.108369827E0,-2.249580383E0,-4.354901123E1,4.435451107E1
3.118468583E0,8.042331696E0,-2.169929504E0,-4.377252197E1,4.455806743E1
3.128512583E0,8.025205612E0,-2.252876282E0,-4.381280518E1,4.459866897E1
3.138557583E0,8.062784195E0,-2.500106812E0,-4.337872314E1,4.419245009E1
3.148601583E0,7.828470230E0,-2.488899231E0,-4.385504150E1,4.461775690E1
3.158645583E0,7.731937408E0,-2.581115723E0,-4.346789551E1,4.422559162E1
3.168689583E0,7.833261490E0,-2.790306091E0,-4.335382080E1,4.414407742E1
3.178733583E0,7.796220779E0,-2.897026062E0,-4.389617920E1,4.467715710E1
3.188778583E0,7.777120590E0,-3.124313354E0,-4.353228760E1,4.433176065E1
3.198822583E0,7.844778061E0,-3.299690247E0,-4.405908203E1,4.487350229E1
3.208866583E0,7.664478302E0,-3.485893250E0,-4.407653809E1,4.487356559E1
3.218910583E0,7.775592804E0,-3.585945129E0,-4.362023926E1,4.445271779E1
3.228955208E0,7.684963226E0,-3.743850708E0,-4.385687256E1,4.468221513E1
3.238999208E0,7.770162582E0,-4.021270752E0,-4.384210205E1,4.470655385E1
3.249044208E0,7.751108170E0,-4.178153992E0,-4.426544189E1,4.513275966E1
